transaction_id,user_id,transaction_amount,transaction_type,payment_mode,device_type,device_location,account_age_days,transaction_hour,previous_failed_attempts,avg_transaction_amount,is_international,ip_risk_score,login_attempts_last_24h,fraud_label,amount_vs_avg,high_value_transaction,night_transaction,behavior_risk_score,new_account,international_high_risk,high_activity_risk
T1,U3756,18758.28,Transfer,UPI,Web,Hyderabad,895,14,1,25535.84,0,0.718,4,0,0.7345576038382196,0,0,5,0,0,0
T2,U7899,47538.18,Payment,Wallet,iOS,Hyderabad,918,21,0,3955.85,0,0.525,9,0,12.01414761742295,1,0,9,0,0,1
T3,U1765,36613.1,Payment,Card,Android,Chennai,1506,8,4,22727.71,0,0.985,9,0,1.6108745282948307,0,0,13,0,0,1
T4,U8850,29952.99,Payment,Wallet,iOS,Chennai,800,1,3,18095.89,0,0.797,2,0,1.6551457184079696,0,1,5,0,0,0
T5,U9049,7843.13,Payment,UPI,Web,Delhi,301,4,1,9317.49,1,0.468,1,0,0.8416739192723285,0,1,2,0,0,0
T6,U1787,7841.93,Transfer,NetBanking,Web,Hyderabad,1992,20,3,4177.23,0,0.583,3,0,1.8768545532438379,0,0,6,0,0,0
T7,U8763,2951.28,Transfer,UPI,Android,Hyderabad,1285,22,4,11451.45,0,0.045,8,1,0.25769857104811633,0,0,12,0,0,0
T8,U1439,43315.5,Transfer,UPI,Web,Hyderabad,1621,4,4,13297.18,0,0.965,4,0,3.257250240258441,1,1,8,0,0,0
T9,U6660,30075.69,Transfer,UPI,Android,Mumbai,184,11,0,4308.8,0,0.363,5,0,6.978442155088403,1,0,5,0,0,0
T10,U3566,35418.23,Payment,Card,iOS,Hyderabad,118,9,3,20136.79,0,0.662,5,0,1.7587942867613577,0,0,8,0,0,0
T11,U7074,1078.2,Withdrawal,Wallet,iOS,Mumbai,971,3,4,9282.58,0,0.667,2,0,0.11614054061041107,0,1,6,0,0,0
T12,U4776,48497.0,Transfer,NetBanking,Android,Delhi,1373,11,2,24200.58,0,0.057,1,0,2.00387743279571,1,0,3,0,0,0
T13,U2955,41630.51,Transfer,Card,iOS,Bangalore,857,14,4,19485.63,0,0.266,8,0,2.1363627266489895,1,0,12,0,0,1
T14,U8947,10656.34,Payment,UPI,Android,Hyderabad,1047,9,4,9384.02,0,0.656,5,0,1.1354626841498472,0,0,9,0,0,0
T15,U7312,9132.16,Payment,NetBanking,iOS,Chennai,702,17,3,10864.59,0,0.912,2,0,0.8404660952603586,0,0,5,0,0,0
T16,U2252,9211.06,Payment,UPI,iOS,Chennai,1355,23,4,28270.21,0,0.779,7,0,0.3258106037909237,0,0,11,0,0,0
T17,U2234,15246.9,Payment,UPI,Web,Hyderabad,1978,4,1,28448.77,0,0.58,2,0,0.5359234890123892,0,1,3,0,0,0
T18,U5276,26261.58,Withdrawal,UPI,Web,Mumbai,1817,12,4,12609.29,0,0.232,6,0,2.082551630454177,1,0,10,0,0,1
T19,U4164,21625.65,Withdrawal,NetBanking,Android,Chennai,973,3,2,20407.19,0,0.949,9,0,1.0596554618513452,0,1,11,0,0,1
T20,U2630,14596.9,Transfer,Wallet,iOS,Chennai,52,8,4,29401.17,0,0.404,4,0,0.4964565540570645,0,0,8,0,0,0
T21,U9283,30612.05,Withdrawal,UPI,iOS,Delhi,470,17,0,29822.13,0,0.15,5,0,1.0264532931318744,0,0,5,0,0,0
T22,U6747,7017.72,Transfer,Wallet,iOS,Delhi,1135,2,3,2256.81,0,0.022,1,0,3.1081977668625793,1,1,4,0,0,0
T23,U1181,14642.63,Transfer,NetBanking,Web,Delhi,1658,23,2,16649.62,1,0.95,1,0,0.8794044906435916,0,0,3,0,1,0
T24,U4203,18349.77,Withdrawal,NetBanking,Android,Chennai,714,10,1,21825.86,0,0.778,9,0,0.8406967378725112,0,0,10,0,0,0
T25,U4808,22830.7,Transfer,UPI,Android,Chennai,1042,3,4,5687.3,0,0.216,5,0,4.013624457219204,1,1,9,0,0,0
T26,U3308,39269.54,Payment,Wallet,Android,Hyderabad,158,8,4,24674.96,0,0.142,3,0,1.5914088043585741,0,0,7,0,0,0
T27,U1472,10023.71,Transfer,Wallet,iOS,Hyderabad,347,11,1,14106.78,0,0.959,2,0,0.7105093785131323,0,0,3,0,0,0
T28,U8397,25736.01,Payment,UPI,Android,Mumbai,1012,9,4,14982.77,0,0.241,7,0,1.7175924350146858,0,0,11,0,0,1
T29,U9198,29641.11,Withdrawal,Card,Web,Chennai,233,9,0,8302.26,0,0.462,4,0,3.5698159518068806,1,0,4,0,0,0
T30,U8334,2370.2,Withdrawal,Card,Web,Hyderabad,1143,8,2,9074.41,0,0.611,3,0,0.2611672640685104,0,0,5,0,0,0
T31,U2407,30396.87,Transfer,NetBanking,Android,Hyderabad,363,9,4,2616.78,0,0.062,2,0,11.611697698049491,1,0,6,0,0,0
T32,U7256,8567.68,Payment,NetBanking,iOS,Delhi,1117,8,1,27952.33,0,0.344,4,0,0.30649944031712856,0,0,5,0,0,0
T33,U5506,3299.33,Transfer,Card,Web,Delhi,564,0,1,11517.82,1,0.944,9,0,0.2864295127452291,0,1,10,0,1,0
T34,U5582,47446.83,Withdrawal,Card,Web,Delhi,75,21,2,4950.68,0,0.7,7,0,9.581966120589376,1,0,9,0,0,1
T35,U3759,48283.32,Transfer,Card,iOS,Bangalore,1421,15,0,4356.41,0,0.368,1,0,11.080738328502482,1,0,1,0,0,0
T36,U2802,40429.45,Transfer,UPI,iOS,Hyderabad,1924,13,2,12281.44,0,0.792,3,0,3.2916464480998884,1,0,5,0,0,0
T37,U8637,15265.46,Payment,UPI,Android,Delhi,630,12,4,19003.02,1,0.837,5,0,0.8032753070139896,0,0,9,0,1,0
T38,U4639,4928.72,Withdrawal,UPI,Web,Delhi,1647,5,0,23355.69,0,0.152,7,0,0.21101962649673395,0,1,7,0,0,0
T39,U3206,34227.44,Transfer,UPI,Web,Chennai,1168,13,0,27745.69,0,0.587,5,0,1.2335684004110041,0,0,5,0,0,0
T40,U9553,22035.62,Payment,UPI,Android,Delhi,1119,7,1,19107.49,0,0.367,9,0,1.1531847885416375,0,0,10,0,0,1
T41,U4277,6145.81,Transfer,UPI,Android,Chennai,93,22,0,12677.79,0,0.507,7,0,0.48473158716249737,0,0,7,0,0,0
T42,U6751,24784.09,Payment,NetBanking,Web,Mumbai,1987,22,4,12716.2,0,0.469,1,0,1.9488637435913565,0,0,5,0,0,0
T43,U2054,1767.71,Payment,Wallet,Web,Delhi,236,17,4,17273.87,0,0.504,6,0,0.1023284111544689,0,0,10,0,0,0
T44,U6523,45470.55,Transfer,NetBanking,iOS,Chennai,1293,19,4,16187.42,0,0.522,2,0,2.8088318687061493,1,0,6,0,0,0
T45,U1346,12976.06,Withdrawal,Wallet,iOS,Delhi,901,0,3,19260.36,0,0.069,6,0,0.6736834782175297,0,1,9,0,0,0
T46,U1899,33142.99,Withdrawal,NetBanking,Web,Mumbai,1022,11,0,15151.97,0,0.178,3,0,2.1872273224325,1,0,3,0,0,0
T47,U7634,15619.97,Payment,NetBanking,Web,Delhi,29,10,0,1863.83,1,0.566,2,0,8.376082538354703,1,0,2,1,0,0
T48,U6799,26027.4,Withdrawal,UPI,iOS,Chennai,1068,12,4,15071.78,1,0.936,3,0,1.7267816554079607,0,0,7,0,1,0
T49,U9575,27358.18,Payment,UPI,Android,Mumbai,1898,22,1,773.74,0,0.747,4,0,35.31272426878695,1,0,5,0,0,0
T50,U6463,9283.48,Withdrawal,Wallet,Android,Mumbai,764,3,0,5500.18,0,0.239,1,0,1.6875433997796834,0,1,1,0,0,0
T51,U9688,48480.75,Transfer,Wallet,Web,Mumbai,1476,5,3,11684.09,0,0.362,4,0,4.148941086461465,1,1,7,0,0,0
T52,U8581,38767.88,Withdrawal,UPI,Web,Bangalore,950,21,0,16584.12,0,0.335,6,0,2.337509767791852,1,0,6,0,0,1
T53,U9669,46977.97,Payment,NetBanking,iOS,Chennai,279,12,2,5626.06,0,0.77,5,0,8.348581674977696,1,0,7,0,0,0
T54,U8665,44746.63,Payment,Wallet,Web,Bangalore,1768,23,3,8361.39,0,0.972,5,0,5.350937949557483,1,0,8,0,0,0
T55,U2603,29915.1,Withdrawal,Card,Android,Mumbai,415,21,1,11288.91,0,0.355,9,0,2.649719971195519,1,0,10,0,0,1
T56,U1488,46097.62,Transfer,Card,iOS,Bangalore,1541,12,3,5996.73,0,0.015,9,0,7.6858444778274455,1,0,12,0,0,1
T57,U4896,4470.2,Payment,Card,iOS,Delhi,313,5,3,29963.03,0,0.937,9,0,0.14918554012928167,0,1,12,0,0,0
T58,U7117,9839.34,Payment,Wallet,Android,Bangalore,1703,21,0,24160.93,1,0.753,7,0,0.4072249195325042,0,0,7,0,1,0
T59,U6287,2309.1,Payment,UPI,Android,Hyderabad,1318,3,3,24347.0,0,0.834,9,0,0.09483735830458354,0,1,12,0,0,0
T60,U3018,16300.25,Payment,UPI,iOS,Mumbai,1581,20,4,17109.03,0,0.209,8,0,0.9526722045490278,0,0,12,0,0,0
T61,U1357,19464.43,Payment,UPI,Web,Mumbai,1018,2,3,28843.61,0,0.646,8,0,0.6748030221244108,0,1,11,0,0,0
T62,U7561,13603.88,Transfer,Wallet,Android,Chennai,819,14,0,21992.8,0,0.233,5,0,0.6185324955214652,0,0,5,0,0,0
T63,U8749,41445.44,Withdrawal,Wallet,iOS,Delhi,1062,10,4,9993.27,0,0.012,9,0,4.146920185266158,1,0,13,0,0,1
T64,U1808,17869.83,Transfer,Card,Web,Chennai,400,1,1,18354.75,0,0.157,8,0,0.9735276412023481,0,1,9,0,0,0
T65,U8448,14082.68,Transfer,Wallet,Web,Bangalore,1449,22,2,16356.63,0,0.923,7,0,0.8609242292434784,0,0,9,0,0,0
T66,U1709,27157.67,Payment,Card,iOS,Hyderabad,1942,16,3,17450.64,0,0.215,8,0,1.5561672140841778,0,0,11,0,0,1
T67,U9847,7089.17,Transfer,Card,Android,Hyderabad,1800,22,4,24550.03,0,0.585,9,0,0.2887524474533248,0,0,13,0,0,0
T68,U1177,40119.74,Payment,UPI,Web,Hyderabad,918,1,4,15335.9,0,0.968,7,0,2.615896302381837,1,1,11,0,0,1
T69,U3551,3773.8,Transfer,Wallet,Android,Hyderabad,1983,20,1,21886.35,0,0.076,9,0,0.17241922845844748,0,0,10,0,0,0
T70,U5572,49345.0,Payment,UPI,iOS,Delhi,151,0,1,7592.84,0,0.808,8,0,6.498029982196096,1,1,9,0,0,1
T71,U5611,38623.63,Payment,UPI,Android,Bangalore,655,4,2,27968.65,0,0.598,2,0,1.3809121672956222,0,1,4,0,0,0
T72,U3282,9975.85,Transfer,Wallet,Web,Hyderabad,1689,19,2,2682.83,0,0.323,3,0,3.717020079513233,1,0,5,0,0,0
T73,U1105,325.83,Transfer,Wallet,iOS,Mumbai,818,16,0,29808.04,0,0.364,6,0,0.010930576764632473,0,0,6,0,0,0
T74,U6842,40782.3,Withdrawal,NetBanking,Web,Bangalore,957,0,2,19016.93,0,0.027,6,0,2.144413193233964,1,1,8,0,0,1
T75,U7788,35357.52,Withdrawal,Card,Web,Delhi,1913,6,2,14151.55,1,0.256,7,0,2.498314438034135,1,0,9,0,0,1
T76,U4108,36463.91,Withdrawal,NetBanking,iOS,Hyderabad,1374,2,4,9392.39,0,0.423,2,0,3.8818690589872245,1,1,6,0,0,0
T77,U9241,38574.95,Transfer,Card,iOS,Delhi,254,15,3,12213.74,0,0.717,1,0,3.158065583057846,1,0,4,0,0,0
T78,U1267,3748.53,Transfer,Card,Android,Hyderabad,775,15,3,23494.46,1,0.275,5,0,0.15954273719263212,0,0,8,0,0,0
T79,U5248,17955.36,Payment,Card,iOS,Mumbai,885,11,2,4269.05,0,0.58,2,0,4.204953103593635,1,0,4,0,0,0
T80,U6998,5837.66,Withdrawal,UPI,Android,Bangalore,921,8,0,7655.29,0,0.732,9,0,0.7624658940557372,0,0,9,0,0,0
T81,U3877,43162.02,Payment,UPI,iOS,Mumbai,1038,13,0,3799.45,0,0.699,3,0,11.357081398255469,1,0,3,0,0,0
T82,U1520,31183.74,Payment,Wallet,Web,Hyderabad,929,11,3,12856.97,0,0.59,2,0,2.425245975842221,1,0,5,0,0,0
T83,U1170,16578.36,Payment,Card,Android,Chennai,948,15,1,11677.96,0,0.58,7,0,1.4195065314034814,0,0,8,0,0,1
T84,U5484,3224.74,Payment,Card,iOS,Bangalore,458,16,4,19498.67,0,0.721,6,0,0.16537408068957066,0,0,10,0,0,0
T85,U9322,15583.57,Withdrawal,Card,Android,Delhi,275,11,2,29871.91,0,0.336,8,0,0.5216622685905056,0,0,10,0,0,0
T86,U3983,16292.91,Payment,UPI,Android,Hyderabad,1524,3,4,26781.54,0,0.45,9,0,0.6083407324323981,0,1,13,0,0,0
T87,U2552,36493.83,Transfer,Wallet,Android,Mumbai,1272,16,2,26423.29,0,0.966,3,0,1.381071355181161,0,0,5,0,0,0
T88,U3989,31896.0,Transfer,UPI,Web,Chennai,259,0,2,19406.67,0,0.669,8,0,1.6434739461254237,0,1,10,0,0,1
T89,U4029,44366.28,Transfer,NetBanking,iOS,Hyderabad,964,20,3,8191.19,0,0.52,4,0,5.415680056248696,1,0,7,0,0,0
T90,U5882,23637.14,Withdrawal,NetBanking,iOS,Delhi,1324,16,4,11584.16,0,0.578,2,0,2.0402946528144628,1,0,6,0,0,0
T91,U4389,6023.73,Payment,NetBanking,Android,Mumbai,552,10,4,7578.65,0,0.104,4,0,0.7947240307929786,0,0,8,0,0,0
T92,U4396,35676.58,Withdrawal,Wallet,iOS,Bangalore,641,18,1,4139.01,0,0.592,4,0,8.617510585723222,1,0,5,0,0,0
T93,U8733,38051.21,Payment,NetBanking,Web,Chennai,1112,22,1,13137.33,0,0.836,8,0,2.8961983752881832,1,0,9,0,0,1
T94,U4576,28085.8,Withdrawal,Wallet,Android,Hyderabad,916,17,4,26936.3,0,0.524,8,0,1.042636047413809,0,0,12,0,0,1
T95,U3234,38559.81,Withdrawal,UPI,Web,Hyderabad,530,19,1,22340.85,0,0.177,7,0,1.7259004961540785,0,0,8,0,0,1
T96,U1521,24715.09,Payment,UPI,Web,Hyderabad,1483,1,1,29546.65,0,0.448,4,0,0.836448583897535,0,1,5,0,0,0
T97,U4929,26160.5,Withdrawal,Wallet,iOS,Hyderabad,1589,8,2,5925.03,0,0.278,2,0,4.4145068452235305,1,0,4,0,0,0
T98,U1472,21405.67,Payment,UPI,iOS,Mumbai,893,8,3,15066.27,0,0.36,1,0,1.42067341993606,0,0,4,0,0,0
T99,U1266,1319.69,Transfer,UPI,Android,Bangalore,743,11,2,23812.08,0,0.225,2,0,0.05541870266257032,0,0,4,0,0,0
T100,U8394,5439.18,Transfer,Wallet,Web,Delhi,153,12,1,13867.79,0,0.334,2,0,0.3921885038276591,0,0,3,0,0,0
T101,U7803,1619.89,Transfer,NetBanking,iOS,Chennai,1153,15,2,10716.13,0,0.822,3,0,0.15114960815068962,0,0,5,0,0,0
T102,U7909,31838.7,Withdrawal,Wallet,Android,Hyderabad,953,12,2,24495.02,1,0.758,5,0,1.2997499185581984,0,0,7,0,1,0
T103,U5779,15752.08,Transfer,Card,Android,Hyderabad,574,22,0,12966.21,0,0.491,1,0,1.2147624662514143,0,0,1,0,0,0
T104,U1616,25453.11,Payment,UPI,iOS,Bangalore,1610,13,2,27397.73,0,0.783,5,1,0.9289886794022935,0,0,7,0,0,0
T105,U6888,45382.95,Transfer,Wallet,Web,Bangalore,1209,6,2,8125.2,0,0.976,7,0,5.584769018729541,1,0,9,0,0,1
T106,U1735,12502.15,Transfer,UPI,Android,Mumbai,79,1,3,26903.97,0,0.406,1,0,0.4646780873570942,0,1,4,0,0,0
T107,U2553,20548.63,Withdrawal,NetBanking,iOS,Mumbai,1847,11,4,8425.98,0,0.98,4,0,2.4384334601482385,1,0,8,0,0,0
T108,U9301,37789.78,Payment,UPI,Android,Mumbai,642,23,0,8757.97,0,0.246,2,0,4.314409114313669,1,0,2,0,0,0
T109,U3195,11478.47,Withdrawal,Wallet,iOS,Chennai,898,16,0,12675.47,0,0.955,8,0,0.9054941951505427,0,0,8,0,0,0
T110,U9467,3895.15,Withdrawal,NetBanking,Android,Mumbai,1236,23,0,15522.77,0,0.864,2,0,0.25091520938534906,0,0,2,0,0,0
T111,U9234,14523.09,Payment,NetBanking,Web,Hyderabad,810,4,0,12604.93,0,0.199,1,0,1.1520839795239224,0,1,1,0,0,0
T112,U9082,8103.0,Withdrawal,NetBanking,Android,Mumbai,189,19,3,25878.26,1,0.35,2,0,0.31310787093603143,0,0,5,0,0,0
T113,U8186,46488.4,Payment,Card,iOS,Chennai,602,9,4,23887.52,0,0.708,4,0,1.9460560972383387,0,0,8,0,0,0
T114,U9675,40415.61,Transfer,Wallet,iOS,Mumbai,576,17,3,9364.92,0,0.192,5,0,4.315177793532296,1,0,8,0,0,0
T115,U2339,31688.52,Payment,Wallet,iOS,Mumbai,700,2,0,15394.44,0,0.591,2,0,2.058305576196588,1,1,2,0,0,0
T116,U5538,43579.46,Payment,NetBanking,Web,Hyderabad,1643,12,4,12987.79,0,0.535,4,0,3.3551593335483902,1,0,8,0,0,0
T117,U4935,40193.42,Payment,UPI,iOS,Hyderabad,1143,12,3,1776.5,1,0.292,7,0,22.612331926863572,1,0,10,0,0,1
T118,U3759,9369.17,Withdrawal,NetBanking,iOS,Hyderabad,1457,9,4,22469.59,1,0.301,5,0,0.4169525588780713,0,0,9,0,0,0
